X,Y,Tip,Dimenzija,Tlak,Napomena,Slika,Datum,Ulica,k.b.,Mjesto,Podaci,Oznaka,icon_url
14.7197664327612,45.2824655835542,PH,75mm,,,,,,,,,,./0.png
14.7209785344245,45.2826736308138,PH,75mm,,,,,,,,,,./0.png
14.7216009223567,45.2818501570462,PH,75mm,,,,,,,,,,./0.png
14.7201892413221,45.2808402300505,PH,75mm,,,,,,,,,,./0.png
14.7189808424564,45.2804466260033,PH,75mm,,,,,,,,,,./0.png
14.7194179895958,45.2796967232234,PH,75mm,,,,,,,,,,./0.png
14.7228768433909,45.2787979344914,PH,75mm,,,,,,,,,,./0.png
14.7218632015202,45.2788358391109,PH,75mm,,,,,,,,,,./0.png
14.7202781499762,45.2789277819046,PH,75mm,,,,,,,,,,./0.png
14.7179103293129,45.2812493249469,PH,75mm,,,,,,,,,,./0.png
14.716436050072,45.2813673165488,PH,75mm,,,,,,,,,,./0.png
14.717098922931,45.2793665786988,PH,75mm,,,,,,,,,,./0.png
14.7163863577465,45.2805218115114,PH,75mm,,,,,,,,,,./0.png
14.7176402133952,45.2782308663193,PH,75mm,,,,,,,,,,./0.png
14.7182389728573,45.2783624539657,PH,75mm,,,,,,,,,,./0.png
14.7187872961468,45.2784975175577,PH,75mm,,,,,,,,,,./0.png
14.7191127930062,45.2762067122223,PH,75mm,,,,,,,,,,./0.png
14.718693638293,45.2773913273715,PH,75mm,,,,,,,,,,./0.png
14.7200507231382,45.2757974613657,PH,75mm,,,,,,,,,,./0.png
14.7187009751126,45.2754542063403,PH,75mm,,,,,,,,,,./0.png
14.7187445441105,45.2728121519795,PH,75mm,,,,,,,,,,./0.png
14.7190955846361,45.2717859708814,PH,75mm,,,,,,,,,,./0.png
14.7193583070973,45.2705141112976,PH,75mm,,,,,,,,,,./0.png
14.7186073547665,45.2740865541046,PH,75mm,,,,,,,,,,./0.png
14.7248291844661,45.2656836640027,PH,75mm,,,,,,,,,,./0.png
14.7245687620009,45.2665321648562,PH,75mm,,,,,,,,,,./0.png
14.7248039533025,45.2670160897443,PH,75mm,,,,,,,,,,./0.png
14.7236223423302,45.2672541793489,PH,75mm,,,,,,,,,,./0.png
14.7226634962815,45.2679693333437,PH,75mm,,,,,,,,,,./0.png
14.7213770841595,45.2687505577824,PH,75mm,,,,,,,,,,./0.png
